,FN_mean,TP_mean,difference
average_light,116.71111111111112,169.71964285714284,-53.00853174603172
average_gas,265.6583333333333,286.2357142857143,-20.57738095238102
average_humidity,72.75994992661659,68.84558427683427,3.9143656497823116
average_ambient,29.170152947728827,26.39780893896023,2.772344008768595
average_temperature,27.834472934472938,25.684452452309596,2.1500204821633417
average_object,27.38140159494599,25.708459953887115,1.6729416410588769
y_pred,0.0,1.0,-1.0
y_prob,1.8561078775961173e-124,1.0,-1.0
average_loudness,2.0833333333333335,2.2375,-0.15416666666666634
average_distance,7.417775205268713,7.458536124829032,-0.04076091956031913
y_true,1.0,1.0,0.0
