timestamp,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,average_distance,ocupada
2026-01-28 17:00:00,273.8,62.1,2.0,29.0,84.11111111111111,28.007000000000023,30.21900000000003,7.38707082024936,0
2026-01-28 17:10:00,269.85,60.3,1.95,29.0,84.0,28.09900000000003,30.279000000000032,7.389948285859207,0
2026-01-28 17:20:00,269.1,58.55,2.0,29.0,84.1,28.124000000000027,30.310000000000013,7.396114283594592,0
2026-01-28 17:30:00,269.95,57.6,2.0,29.0,84.6,28.112000000000037,30.325000000000028,7.366723027722589,0
2026-01-28 17:40:00,271.3,57.05,2.0,29.0,85.0,28.11400000000003,30.328000000000024,7.381521422287514,0
2026-01-28 17:50:00,272.1,59.5,1.95,29.0,83.33333333333333,28.12300000000003,30.34100000000003,7.375766491067821,0
2026-01-28 18:00:00,272.95,58.1,1.95,29.0,85.0,28.103000000000023,30.30200000000001,7.398169616173053,0
2026-01-28 18:10:00,273.1,58.05,1.95,29.0,85.63636363636364,28.12800000000003,30.31200000000001,7.380699289256129,0
2026-01-28 18:20:00,273.7,61.75,2.0,29.0,85.92307692307692,28.13500000000004,30.31700000000001,7.379877156224744,0
2026-01-28 18:30:00,273.95,64.0,2.0,29.0,86.0,28.10300000000003,30.33700000000003,7.382343555318898,0
2026-01-28 18:40:00,275.7,65.25,1.9,29.0,86.25,28.12200000000003,30.33900000000003,7.383987821381668,0
2026-01-28 18:50:00,276.8,62.9,2.0,29.0,86.88888888888889,28.12100000000003,30.31800000000002,7.398991749204439,0
2026-01-28 19:00:00,277.25,60.85,1.95,29.0,86.875,28.11500000000004,30.325000000000024,7.389742752601361,0
2026-01-28 19:10:00,278.0,56.05,2.0,29.0,87.0,28.082000000000036,30.319000000000024,7.382343555318898,0
2026-01-28 19:20:00,278.4,55.95,1.95,29.0,87.1,28.160000000000025,30.321000000000023,7.3813158890296675,0
2026-01-28 19:30:00,279.45,58.9,1.95,29.0,87.81818181818181,28.10157894736845,30.33947368421056,7.405774346713362,0
2026-01-28 19:40:00,280.0,56.15,1.95,29.0,87.84615384615384,28.146000000000036,30.31400000000001,7.377821823646282,0
2026-01-28 19:50:00,280.25,52.65,1.95,29.0,87.88888888888889,28.15800000000004,30.322000000000024,7.381932488803206,0
2026-01-28 20:00:00,280.6,56.5,1.95,29.0,88.0,28.066000000000024,30.29800000000002,7.377205223872743,0
2026-01-28 20:10:00,280.95,51.0,2.0,29.0,88.0,28.138000000000027,30.336000000000038,7.37309455871582,0
2026-01-28 20:20:00,281.2,52.05,2.0,29.0,88.21428571428571,28.10500000000002,30.279000000000032,7.363640028854896,0
2026-01-28 20:30:00,281.15,51.1,1.9,29.0,88.84615384615384,28.10600000000004,30.30300000000001,7.378427605879934,0
