,FN_mean,TP_mean,difference
average_light,50.074999999999996,117.3966804979253,-67.32168049792531
average_humidity,81.31678321678321,25.756105944539552,55.56067727224365
average_temperature,28.655555555555555,9.51293037874988,19.142625176805673
average_gas,266.98333333333335,255.9597510373444,11.023582295988945
average_ambient,29.914166666666702,26.246292565475386,3.667874101191316
average_distance,7.402348792415926,4.208365586295021,3.1939832061209046
average_object,27.66868518518521,25.37621269674066,2.2924724884445524
y_pred,0.0,1.0,-1.0
y_prob,0.0,1.0,-1.0
average_loudness,1.9083333333333334,2.0981327800829876,-0.1897994467496542
y_true,1.0,1.0,0.0
