,FN_mean,TP_mean,difference
average_humidity,57.26689378997071,25.43013937036373,31.83675441960698
average_temperature,19.784188034188034,9.43314149644278,10.351046537745255
average_ambient,29.244773974907137,26.1737583188281,3.0710156560790374
average_gas,259.03846153846155,256.07136752136756,2.9670940170939843
average_light,118.47307692307692,115.61068376068377,2.862393162393147
average_distance,6.557838154225214,4.159736337806272,2.398101816418942
average_object,27.35594917913187,25.325008682465366,2.030940496666503
y_pred,0.0,1.0,-1.0
y_prob,0.1796806254453292,0.91038722128759,-0.7307065958422607
average_loudness,2.076923076923077,2.094444444444444,-0.017521367521367015
y_true,1.0,1.0,0.0
