feature,importance_mean,p_value,significant
average_ambient,0.4669495405843963,1.4711939885371787e-37,True
average_light,0.36324778716467054,1.1824403671443518e-38,True
average_temperature,0.24113479374785562,3.104718252651324e-35,True
average_humidity,0.009529398176085283,7.852376051129914e-18,True
average_distance,0.009479949905083062,1.0217637649230904e-16,True
average_object,0.006742408322905758,2.1028697516330356e-12,True
average_gas,0.004955900053925688,2.4975944521258033e-10,True
average_loudness,0.0009373989916127627,0.19129302101127835,False
