start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
0,5,6,True,0.0,1.0,fully_detected
11,11,1,True,0.0,1.0,fully_detected
13,16,4,True,0.0,1.0,fully_detected
24,27,4,True,1.0,0.75,delayed
33,35,3,True,0.0,1.0,fully_detected
54,58,5,True,0.0,0.8,partial
72,73,2,True,1.0,0.5,delayed
75,75,1,True,0.0,1.0,fully_detected
78,78,1,False,,0.0,missed
154,154,1,False,,0.0,missed
205,210,6,True,0.0,1.0,fully_detected
767,767,1,True,0.0,1.0,fully_detected
779,781,3,True,1.0,0.6666666666666666,delayed
800,800,1,True,0.0,1.0,fully_detected
823,823,1,True,0.0,1.0,fully_detected
831,834,4,True,0.0,1.0,fully_detected
838,840,3,True,0.0,1.0,fully_detected
848,848,1,True,0.0,1.0,fully_detected
850,856,7,True,0.0,1.0,fully_detected
909,915,7,True,1.0,0.8571428571428571,delayed
920,932,13,True,0.0,0.9230769230769231,partial
936,937,2,True,0.0,1.0,fully_detected
940,942,3,True,1.0,0.6666666666666666,delayed
944,945,2,True,0.0,1.0,fully_detected
954,963,10,True,0.0,1.0,fully_detected
971,974,4,True,0.0,1.0,fully_detected
976,981,6,True,0.0,1.0,fully_detected
983,986,4,True,0.0,1.0,fully_detected
993,993,1,True,0.0,1.0,fully_detected
1004,1006,3,True,0.0,1.0,fully_detected
1013,1019,7,True,0.0,1.0,fully_detected
1042,1044,3,True,0.0,1.0,fully_detected
1046,1050,5,True,0.0,1.0,fully_detected
1054,1054,1,True,0.0,1.0,fully_detected
1059,1061,3,True,0.0,1.0,fully_detected
1069,1070,2,True,0.0,1.0,fully_detected
1072,1077,6,True,0.0,1.0,fully_detected
1079,1081,3,True,0.0,1.0,fully_detected
1084,1086,3,True,0.0,1.0,fully_detected
1093,1095,3,True,0.0,1.0,fully_detected
1097,1100,4,True,0.0,1.0,fully_detected
1105,1106,2,True,0.0,1.0,fully_detected
1109,1115,7,True,0.0,1.0,fully_detected
1121,1121,1,True,0.0,1.0,fully_detected
1130,1132,3,True,0.0,1.0,fully_detected
1137,1143,7,True,0.0,1.0,fully_detected
1147,1150,4,True,0.0,1.0,fully_detected
1169,1176,8,True,1.0,0.875,delayed
1179,1179,1,True,0.0,1.0,fully_detected
1181,1184,4,True,0.0,1.0,fully_detected
1188,1189,2,True,0.0,1.0,fully_detected
1195,1199,5,True,0.0,1.0,fully_detected
1201,1203,3,True,0.0,1.0,fully_detected
1210,1211,2,True,0.0,1.0,fully_detected
1213,1213,1,True,0.0,1.0,fully_detected
1219,1229,11,True,0.0,1.0,fully_detected
1237,1240,4,True,0.0,1.0,fully_detected
1242,1242,1,True,0.0,1.0,fully_detected
1244,1246,3,True,0.0,1.0,fully_detected
1249,1252,4,True,0.0,1.0,fully_detected
1260,1260,1,False,,0.0,missed
1272,1275,4,True,0.0,1.0,fully_detected
1279,1290,12,True,0.0,1.0,fully_detected
1325,1326,2,True,0.0,1.0,fully_detected
1330,1332,3,True,0.0,1.0,fully_detected
1340,1341,2,True,0.0,1.0,fully_detected
1345,1349,5,True,1.0,0.8,delayed
1351,1352,2,True,0.0,1.0,fully_detected
1355,1358,4,True,0.0,1.0,fully_detected
1363,1363,1,False,,0.0,missed
1365,1365,1,True,0.0,1.0,fully_detected
1367,1370,4,True,0.0,1.0,fully_detected
1374,1376,3,True,0.0,1.0,fully_detected
1384,1385,2,True,0.0,1.0,fully_detected
1387,1390,4,True,0.0,1.0,fully_detected
1395,1396,2,True,0.0,1.0,fully_detected
1414,1418,5,True,0.0,1.0,fully_detected
1421,1435,15,True,0.0,0.9333333333333333,partial
1460,1461,2,True,0.0,1.0,fully_detected
1463,1468,6,True,0.0,1.0,fully_detected
1471,1471,1,True,0.0,1.0,fully_detected
1473,1473,1,False,,0.0,missed
1479,1479,1,False,,0.0,missed
1487,1487,1,False,,0.0,missed
1489,1504,16,True,0.0,0.9375,partial
