timestamp,average_gas,average_light,average_loudness,n_devices,motion?,average_temperature,average_humidity,average_object,average_ambient,average_visible,average_uv,average_ir,average_distance,ocupada
2026-01-26 00:00:00,276.2,50.05,1.9,2.0,0.0,28.83333333333333,87.5,26.275555555555577,29.62000000000004,0.0,0.0,0.0,7.388098486538591,0
2026-01-26 00:10:00,276.4,50.0,1.95,3.0,0.0,28.846153846153847,87.61538461538461,26.31736842105265,29.646842105263197,0.0,0.0,0.0,7.382960155092436,0
2026-01-26 00:20:00,276.65,49.85,1.9,2.0,0.0,28.923076923076923,87.46153846153847,26.278888888888908,29.5966666666667,0.0,0.0,0.0,7.390975952148437,0
2026-01-26 00:30:00,277.65,49.7,1.95,2.0,0.0,28.818181818181817,87.63636363636364,26.266666666666687,29.627777777777823,0.0,0.0,0.0,7.389537219343515,0
2026-01-26 00:40:00,277.65,50.1,1.8,2.0,0.0,28.83333333333333,87.58333333333333,26.256666666666693,29.6077777777778,0.0,0.0,0.0,7.41502334331644,0
2026-01-26 00:50:00,277.15,50.05,1.95,3.0,0.0,28.642857142857142,87.57142857142857,26.238888888888912,29.587777777777816,0.0,0.0,0.0,7.386248687217975,0
2026-01-26 01:00:00,277.4,49.05,1.95,3.0,0.0,28.727272727272727,87.72727272727273,26.240000000000023,29.592222222222247,0.0,0.0,0.0,7.386043153960129,0
2026-01-26 01:10:00,277.85,49.95,1.9,2.0,0.0,28.5,87.5,26.2477777777778,29.57000000000004,0.0,0.0,0.0,7.388304019796437,0
2026-01-26 01:20:00,278.25,50.0,1.85,2.0,0.0,28.58333333333333,87.58333333333333,26.212222222222245,29.57000000000004,0.0,0.0,0.0,7.385221020928744,0
2026-01-26 01:30:00,278.4,49.85,1.95,2.0,0.0,28.63636363636364,87.63636363636364,26.24578947368423,29.582631578947407,0.0,0.0,0.0,7.389537219343515,0
2026-01-26 01:40:00,278.85,49.6,1.8,2.0,0.0,28.5,87.5,26.27235294117649,29.561764705882386,0.0,0.0,0.0,7.388304019796437,0
2026-01-26 01:50:00,279.15,49.8,1.85,2.0,0.0,28.615384615384617,87.61538461538461,26.272352941176493,29.46411764705886,0.0,0.0,0.0,7.392274056934834,0
2026-01-26 10:00:00,285.7,54.55,2.0,2.0,0.0,28.09090909090909,88.9090909090909,26.05300000000002,28.978000000000023,0.0,0.0,0.0,7.398331879271353,0
2026-01-26 10:10:00,285.95,61.5,2.0,3.0,0.0,28.0,88.92857142857143,26.01666666666669,29.08000000000002,0.0,0.0,0.0,7.3930312847268995,0
2026-01-26 10:20:00,286.2,54.0,1.9,2.0,0.0,28.0,89.0,25.9877777777778,29.09888888888891,0.0,0.0,0.0,7.395292150563208,0
2026-01-26 10:30:00,287.0,56.4,1.8,2.0,0.0,28.0,88.9090909090909,26.20200000000002,29.04400000000002,0.0,0.0,0.0,7.396114283594592,0
2026-01-26 10:40:00,287.95,73.2,1.95,2.0,0.0,28.0,89.0,26.33555555555557,29.218888888888923,0.0,0.0,0.0,7.395292150563208,0
2026-01-26 10:50:00,289.65,85.15,2.0,3.0,0.0,28.0,88.66666666666667,26.26333333333336,29.06111111111113,0.0,0.0,0.0,7.392003618437668,0
2026-01-26 11:00:00,290.95,67.25,2.0,2.0,0.0,28.0,88.6923076923077,26.150000000000027,29.10384615384617,0.0,0.0,0.0,7.395292150563207,0
2026-01-26 11:10:00,291.15,65.95,1.95,2.0,0.0,28.0,88.4,26.01000000000002,29.334000000000028,0.0,0.0,0.0,7.41666760937921,0
