feature,importance_mean,p_value,significant
average_ambient,0.6786184052737657,2.1687261498876727e-32,True
average_light,0.49914774169336246,7.046161432189692e-32,True
average_temperature,0.15866484966676433,4.416572403232092e-22,True
average_gas,0.053191570857766095,1.8960625037140137e-24,True
average_distance,0.048797059707937865,1.1027392017630836e-20,True
average_loudness,0.03524883931622311,1.1138618993173354e-14,True
average_humidity,0.031835795557309435,8.690808416737612e-20,True
average_object,0.016230404920369212,2.6482664706467603e-08,True
