,FN_mean,TP_mean,difference
average_light,67.74999999999999,171.25113636363633,-103.50113636363635
average_gas,273.5888888888889,286.775,-13.186111111111074
average_humidity,76.76708754208755,67.68997681611317,9.077110725974379
average_ambient,29.471423651721935,26.69287055539922,2.778553096322714
average_temperature,28.193771043771044,25.758253488935303,2.435517554835741
average_object,27.39399610136455,26.03998281577386,1.354013285590689
y_pred,0.0,1.0,-1.0
y_prob,0.1632179386217609,0.8584740175290982,-0.6952560789073373
average_loudness,1.9222222222222223,2.230681818181818,-0.3084595959595957
average_distance,7.417218101964551,7.463468466432864,-0.04625036446831299
y_true,1.0,1.0,0.0
