,FN_mean,TP_mean,difference
average_light,68.56500000000001,176.67291666666665,-108.10791666666664
average_humidity,78.56121114996115,68.25504784567285,10.306163304288305
average_ambient,29.50452600619198,25.954492594136198,3.5500334120557824
average_temperature,28.129059829059827,25.1685760998261,2.960483729233726
average_object,27.312612693498476,25.26149648174612,2.0511162117523547
y_pred,0.0,1.0,-1.0
average_loudness,1.9449999999999998,2.264583333333333,-0.3195833333333331
average_distance,7.4063909464868996,7.469145298292619,-0.06275435180571964
average_gas,272.1650000000001,272.21250000000003,-0.0474999999999568
y_true,1.0,1.0,0.0
