,FN_mean,TP_mean,difference
average_light,59.67142857142857,165.00641025641025,-105.33498168498167
average_humidity,76.97530663780664,69.19303364014904,7.7822729976576
average_gas,272.90714285714284,279.13076923076926,-6.223626373626416
average_ambient,29.456185877859944,27.128412877050913,2.3277730008090316
average_temperature,27.92063492063492,26.275403513865058,1.645231406769863
average_object,27.211631578947387,26.21078682987783,1.0008447490695573
y_pred,0.0,1.0,-1.0
y_prob,0.12203955901224695,0.7625373603723687,-0.6404978013601218
average_loudness,1.9357142857142855,2.2205128205128206,-0.2847985347985351
average_distance,7.411734811190901,7.448123628505473,-0.03638881731457211
y_true,1.0,1.0,0.0
