,FN_mean,TP_mean,difference
average_light,75.56,173.75833333333333,-98.19833333333332
average_humidity,76.11393842268842,69.27474481536981,6.839193607318606
average_ambient,29.327381561747536,26.028302779321383,3.299078782426154
average_temperature,27.929059829059828,25.251909433159437,2.677150395900391
average_object,27.11490158238737,25.343876111375753,1.7710254710116153
thermal_contrast,-2.2124799793601695,-0.684426667945631,-1.5280533114145385
average_gas,271.45,272.5104166666667,-1.060416666666697
y_pred,0.0,1.0,-1.0
average_loudness,1.9549999999999996,2.2604166666666665,-0.3054166666666669
average_ambient_delta_pct,-0.05719788903013372,-0.16325503681124415,0.10605714778111043
average_temperature_delta_pct,-0.06106372199586385,-0.15106580741402645,0.0900020854181626
average_humidity_delta_pct,-0.04558728698770238,-0.13134573623950974,0.08575844925180735
average_object_delta_pct,-0.06050546620225219,-0.12186909476554991,0.061363628563297724
average_distance,7.412598050873855,7.466559004798054,-0.05396095392419831
average_gas_delta_pct,-0.028780676579541954,-0.024986618161624164,-0.00379405841791779
y_true,1.0,1.0,0.0
