,FN_mean,TP_mean,difference
average_light,76.49583333333332,182.17499999999998,-105.67916666666666
average_humidity,76.34646383708883,68.5261678977588,7.8202959393300375
average_ambient,29.15823463478962,25.820648486532413,3.3375861482572056
average_temperature,27.857549857549856,25.047537563446657,2.810012294103199
average_object,27.04991798532281,25.21831939422809,1.8315985910947212
y_pred,0.0,1.0,-1.0
y_prob,3.5924427600782487e-156,1.0,-1.0
average_loudness,1.9541666666666664,2.2886363636363636,-0.3344696969696972
average_gas,272.2375,272.17727272727274,0.060227272727274794
average_distance,7.4148006822871055,7.470263110747572,-0.05546242846046656
y_true,1.0,1.0,0.0
