timestamp,ocupada
2025-12-16 18:30:00,1
2025-12-16 18:40:00,1
2025-12-16 18:50:00,1
2025-12-16 19:00:00,1
2025-12-16 19:10:00,1
2025-12-16 19:20:00,1
2025-12-16 19:30:00,1
2025-12-16 19:40:00,0
2025-12-16 19:50:00,1
2025-12-16 20:00:00,1
2025-12-16 20:10:00,1
2025-12-16 20:20:00,1
2025-12-16 20:30:00,1
2025-12-16 20:40:00,1
2025-12-16 20:50:00,1
2025-12-16 21:00:00,1
2025-12-16 21:10:00,1
2025-12-16 21:20:00,0
2025-12-16 21:30:00,1
2025-12-16 21:40:00,1
2025-12-16 21:50:00,1
2025-12-16 22:00:00,1
2025-12-16 22:10:00,1
2025-12-16 22:20:00,1
2025-12-16 22:30:00,1
2025-12-16 22:40:00,1
2025-12-16 22:50:00,1
2025-12-16 23:00:00,0
2025-12-16 23:10:00,0
2025-12-16 23:20:00,0
2025-12-16 23:30:00,0
2025-12-16 23:40:00,0
2025-12-16 23:50:00,0
2025-12-17 00:00:00,0
2025-12-17 00:10:00,0
2025-12-17 00:20:00,0
2025-12-17 00:30:00,0
2025-12-17 00:40:00,0
2025-12-17 00:50:00,0
2025-12-17 01:00:00,0
2025-12-17 01:10:00,0
2025-12-17 01:20:00,0
2025-12-17 01:30:00,0
2025-12-17 01:40:00,0
2025-12-17 01:50:00,0
2025-12-17 10:10:00,0
2025-12-17 10:20:00,0
2025-12-17 10:30:00,0
2025-12-17 10:40:00,0
2025-12-17 10:50:00,0
2025-12-17 11:00:00,1
2025-12-17 11:10:00,1
2025-12-17 11:20:00,1
2025-12-17 11:30:00,0
2025-12-17 11:40:00,0
2025-12-17 11:50:00,0
2025-12-17 12:00:00,0
2025-12-17 12:10:00,0
2025-12-17 12:20:00,0
2025-12-17 12:30:00,0
2025-12-17 12:40:00,0
2025-12-17 12:50:00,0
2025-12-17 13:00:00,0
2025-12-17 13:10:00,0
2025-12-17 13:20:00,0
2025-12-17 13:30:00,0
2025-12-17 13:40:00,0
2025-12-17 13:50:00,0
2025-12-17 14:00:00,1
2025-12-17 14:10:00,1
2025-12-17 14:20:00,1
2025-12-17 14:30:00,1
2025-12-17 14:40:00,1
2025-12-17 14:50:00,1
2025-12-17 15:00:00,1
2025-12-17 15:10:00,1
2025-12-17 15:20:00,1
2025-12-17 15:30:00,0
2025-12-17 15:40:00,0
2025-12-17 15:50:00,0
2025-12-17 16:00:00,0
2025-12-17 16:10:00,0
2025-12-17 16:20:00,0
2025-12-17 16:30:00,0
2025-12-17 16:40:00,0
2025-12-17 16:50:00,0
2025-12-17 17:00:00,0
2025-12-17 17:10:00,0
2025-12-17 17:20:00,0
2025-12-17 17:30:00,0
2025-12-17 17:40:00,0
2025-12-17 17:50:00,1
2025-12-17 18:00:00,1
