feature,importance_mean,importance_std
average_ambient,0.6825738346346679,0.06685361649626236
average_light,0.4066588994176999,0.04835944113004131
average_temperature,0.11241279172552708,0.01772971761900972
average_distance,0.049371772065112444,0.009540562997583013
average_object,0.02978277458738428,0.008550895381444573
average_gas,0.023533942485121973,0.013699507096717621
average_humidity,0.007885464560916962,0.012640277466371249
average_loudness,0.006115699631778619,0.010895800314197093
