,FN_mean,TP_mean,difference
average_light,101.435,186.32756410256408,-84.89256410256408
average_gas,259.95,271.0628205128205,-11.11282051282052
average_humidity,80.56565656565657,71.27511585636586,9.29054070929071
average_ambient,30.385985154061654,26.816143238299883,3.5698419157617707
average_distance,8.024243391144298,11.19473266304219,-3.1704892718978925
average_temperature,29.01111111111111,25.98259130470669,3.028519806404418
average_object,28.229559477124205,25.827193858648364,2.402365618475841
y_pred,0.0,1.0,-1.0
y_prob,0.14709682388522974,0.8710739646270244,-0.7239771407417946
average_loudness,2.0,2.3615384615384616,-0.3615384615384616
y_true,1.0,1.0,0.0
