feature,importance_mean,p_value,significant
average_light,0.46138751404455003,1.345454214037469e-28,True
average_ambient,0.4271060624139158,3.354337958844888e-32,True
average_temperature,0.07581013616752069,6.021290327084392e-24,True
average_distance,0.05872875269472543,4.981792494486022e-19,True
average_object,-0.005212482508286853,0.005711268777281638,True
average_gas,-0.008841380681504559,2.06471018797976e-08,True
average_humidity,-0.018570690653818233,1.778573302195595e-17,True
average_loudness,-0.018991692319593318,8.681381246430809e-18,True
