camera,week,samples,accuracy,f1
webcam_usb,week_37,237,1.0,1.0
webcam_usb,week_38,672,1.0,1.0
webcam_usb,week_39,432,1.0,1.0
webcam_usb,week_40,672,1.0,1.0
webcam_usb,week_41,672,1.0,1.0
webcam_usb,week_42,424,1.0,1.0
webcam_usb,week_43,190,1.0,1.0
