camera,week,train_samples,test_samples,accuracy,f1
webcam_usb,week_37,237,237,1.0,1.0
webcam_usb,week_38,909,672,1.0,1.0
webcam_usb,week_39,1341,432,1.0,1.0
webcam_usb,week_40,2013,672,1.0,1.0
webcam_usb,week_41,2685,672,1.0,1.0
webcam_usb,week_42,3109,424,1.0,1.0
webcam_usb,week_43,3368,259,1.0,1.0
webcam_usb,week_44,3582,214,1.0,1.0
