camera,week,train_samples,test_samples,accuracy,f1
camera_sensor,week_37,244,244,1.0,1.0
camera_sensor,week_38,916,672,1.0,1.0
camera_sensor,week_39,1586,670,1.0,1.0
camera_sensor,week_40,2258,672,1.0,1.0
camera_sensor,week_41,2930,672,1.0,1.0
camera_sensor,week_42,3601,671,1.0,1.0
camera_sensor,week_43,4220,619,1.0,1.0
