timestamp,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,ocupada
2026-05-18 16:50:00,242.1,89.25,1.85,0.0,0.0,25.318000000000023,25.83500000000002,1
2026-05-18 17:00:00,250.75,90.85,1.85,0.0,0.0,25.43900000000002,26.279000000000032,1
2026-05-18 17:10:00,240.05,88.1,1.9,0.0,0.0,25.17888888888892,25.714444444444474,1
2026-05-18 17:20:00,250.0,83.8,1.85,0.0,0.0,25.61700000000003,26.604000000000024,1
2026-05-18 17:30:00,237.35,78.65,1.95,0.0,0.0,25.376000000000023,26.23800000000003,1
2026-05-18 17:40:00,246.7,78.9,1.8,0.0,0.0,25.52100000000003,26.873000000000022,1
2026-05-18 17:50:00,243.35,73.4,2.0,0.0,0.0,26.04052631578949,27.29210526315792,1
2026-05-18 18:00:00,238.1,66.85,7.55,0.0,0.0,25.24600000000003,25.13200000000003,0
2026-05-18 18:10:00,237.65,66.0,1.9,0.0,0.0,25.84500000000002,27.40000000000003,0
2026-05-18 18:20:00,236.0,66.15,1.9,0.0,0.0,26.173000000000023,27.89500000000003,0
2026-05-18 18:30:00,236.0,67.4,1.85,0.0,0.0,26.397058823529427,28.121764705882388,0
2026-05-18 18:40:00,235.85,65.3,1.85,0.0,0.0,26.42800000000002,28.273000000000035,0
2026-05-18 18:50:00,235.85,66.0,1.9,0.0,0.0,26.58700000000002,28.35800000000002,0
2026-05-18 19:00:00,235.6,64.5,1.8,0.0,0.0,26.70473684210529,28.40052631578949,0
2026-05-18 19:10:00,235.8,65.1,1.95,0.0,0.0,26.719411764705907,28.55705882352944,0
2026-05-18 19:20:00,235.1,64.75,1.9,0.0,0.0,26.837000000000025,28.678000000000036,0
2026-05-18 19:30:00,235.8,62.95,1.5,0.0,0.0,26.88900000000002,28.67600000000003,0
2026-05-18 19:40:00,235.05,61.65,1.9,0.0,0.0,26.87800000000002,28.71900000000003,0
2026-05-18 19:50:00,235.65,78.05,1.85,0.0,0.0,26.955714285714304,28.79714285714288,1
2026-05-18 20:00:00,232.75,80.85,2.05,0.0,0.0,26.68368421052634,28.061578947368453,1
2026-05-18 20:10:00,238.05,80.1,1.85,0.0,0.0,26.24222222222225,27.18000000000003,1
2026-05-18 20:20:00,234.1,79.8,1.75,0.0,0.0,25.819411764705904,26.758235294117693,1
2026-05-18 20:30:00,237.65,77.85,1.8,0.0,0.0,25.6088235294118,26.310000000000024,1
2026-05-18 20:40:00,237.05,80.1,2.0,0.0,0.0,25.519000000000016,26.28000000000003,1
2026-05-18 20:50:00,245.0,80.75,1.95,0.0,0.0,25.79300000000002,26.907000000000032,1
2026-05-18 21:00:00,241.25,79.35,1.9,0.0,0.0,25.38263157894739,25.54789473684213,1
2026-05-18 21:10:00,236.55,80.15,1.95,0.0,0.0,25.416000000000015,26.291000000000025,1
2026-05-18 21:20:00,241.35,60.85,1.85,0.0,0.0,25.55526315789476,26.370000000000022,0
2026-05-18 21:30:00,238.35,68.3,1.85,0.0,0.0,25.86333333333335,27.708888888888925,1
2026-05-18 21:40:00,274.7,69.05,1.9,0.0,0.0,25.86700000000002,27.42700000000001,1
2026-05-18 21:50:00,264.55,69.0,1.95,0.0,0.0,25.93333333333335,27.472222222222253,1
2026-05-18 22:00:00,269.1,69.0,2.0,0.0,0.0,26.21333333333336,27.76666666666669,1
2026-05-18 22:10:00,269.2,68.3,1.8,0.0,0.0,26.28222222222224,27.66444444444447,1
2026-05-18 22:20:00,267.55,68.6,1.95,0.0,0.0,26.346666666666685,27.53777777777781,1
2026-05-18 22:30:00,275.05,66.95,1.8,0.0,0.0,26.145555555555585,27.48444444444447,1
2026-05-18 22:40:00,275.85,68.85,2.0,0.0,0.0,26.13235294117649,27.60529411764709,1
2026-05-18 22:50:00,271.2,68.95,1.9,0.0,0.0,26.22111111111113,27.531111111111148,1
2026-05-18 23:00:00,277.2,61.45,1.9,0.0,0.0,26.404000000000018,27.840000000000025,0
2026-05-18 23:10:00,277.6,61.05,1.9,0.0,0.0,26.50529411764708,28.05823529411768,0
2026-05-18 23:20:00,277.0,61.05,1.8,0.0,0.0,26.58600000000002,28.16600000000002,0
2026-05-18 23:30:00,276.6,60.95,1.9,0.0,0.0,26.63700000000002,28.277000000000037,0
2026-05-18 23:40:00,275.95,67.75,1.9,0.0,0.0,26.673000000000023,28.324000000000023,1
2026-05-18 23:50:00,269.55,69.95,2.25,0.0,0.0,26.145555555555585,26.67555555555559,1
2026-05-19 00:00:00,265.55,72.3,2.95,0.0,0.0,25.84529411764708,26.50058823529415,1
2026-05-19 00:10:00,266.9,76.1,1.95,0.0,0.0,25.510000000000023,25.800588235294143,1
2026-05-19 00:20:00,266.95,76.35,1.9,0.0,0.0,25.18333333333337,25.29111111111113,1
2026-05-19 00:30:00,273.0,71.8,2.0,0.0,0.0,25.25555555555557,25.698888888888924,1
2026-05-19 00:40:00,276.35,67.45,2.1,0.0,0.0,25.577000000000027,26.892000000000024,1
2026-05-19 00:50:00,272.15,67.65,2.25,0.0,0.0,25.48411764705884,26.731176470588263,1
2026-05-19 01:00:00,268.05,60.75,2.0,0.0,0.0,25.615555555555584,26.804444444444467,0
2026-05-19 01:10:00,263.7,60.95,1.85,0.0,0.0,25.809000000000022,27.60700000000002,0
2026-05-19 01:20:00,263.05,61.25,1.85,0.0,0.0,25.98800000000002,27.82800000000003,0
2026-05-19 01:30:00,263.0,61.7,1.85,0.0,0.0,26.187000000000022,27.94300000000003,0
2026-05-19 01:40:00,262.3,60.9,2.0,0.0,0.0,26.34076923076925,28.04538461538464,0
2026-05-19 01:50:00,261.2,61.35,1.8,0.0,0.0,26.38294117647061,28.121764705882384,0
2026-05-19 10:00:00,243.75,62.0,1.9,0.0,0.0,26.895000000000017,28.333000000000037,0
2026-05-19 10:10:00,243.25,62.45,1.8,0.0,0.0,26.92600000000002,28.345000000000027,0
2026-05-19 10:20:00,243.95,63.1,1.85,0.0,0.0,26.85100000000002,28.35700000000002,0
2026-05-19 10:30:00,243.75,63.0,1.9,0.0,0.0,26.875000000000018,28.37400000000002,0
2026-05-19 10:40:00,242.75,65.0,1.9,0.0,0.0,26.90789473684212,28.39526315789476,0
2026-05-19 10:50:00,242.65,65.35,1.95,0.0,0.0,26.93526315789476,28.44578947368424,0
2026-05-19 11:00:00,242.65,65.65,1.8,0.0,0.0,26.843000000000025,28.43100000000002,0
2026-05-19 11:10:00,241.1,62.65,1.7,0.0,0.0,26.79526315789476,28.43210526315792,0
2026-05-19 11:20:00,240.3,62.25,1.95,0.0,0.0,26.85100000000002,28.406000000000027,0
2026-05-19 11:30:00,240.7,76.45,1.95,0.0,0.0,26.84263157894739,28.446842105263187,0
2026-05-19 11:40:00,231.7,74.35,1.7,0.0,0.0,26.178888888888917,27.62222222222225,0
2026-05-19 11:50:00,203.9,74.3,1.9,0.0,0.0,25.224444444444472,25.37777777777781,1
2026-05-19 12:00:00,217.05,88.35,1.9,0.0,0.0,25.21842105263161,26.03631578947371,0
2026-05-19 12:10:00,251.95,84.05,1.9,0.0,0.0,25.22888888888892,26.014444444444464,1
2026-05-19 12:20:00,268.65,83.2,2.0,0.0,0.0,24.86800000000003,25.13900000000004,1
2026-05-19 12:30:00,268.05,85.35,1.95,0.0,0.0,24.807000000000023,24.942000000000025,1
2026-05-19 12:40:00,268.15,82.95,2.0,0.0,0.0,24.772000000000027,25.11000000000003,1
2026-05-19 12:50:00,264.85,94.85,1.85,0.0,0.0,24.71200000000004,25.03000000000003,1
2026-05-19 13:00:00,259.95,89.7,1.9,0.0,0.0,24.6655555555556,24.860000000000014,1
2026-05-19 13:10:00,258.2,96.7,1.95,0.0,0.0,24.57111111111115,24.8777777777778,1
2026-05-19 13:20:00,253.35,98.45,1.9,0.0,0.0,24.536666666666704,24.80000000000003,1
2026-05-19 13:30:00,252.75,94.75,3.85,0.0,0.0,24.58900000000004,24.974000000000025,1
2026-05-19 13:40:00,245.7,91.7,2.0,0.0,0.0,24.61700000000004,24.959000000000024,1
2026-05-19 13:50:00,239.95,79.5,1.7,0.0,0.0,25.106666666666698,26.54333333333337,0
2026-05-19 14:00:00,236.1,78.75,1.9,0.0,0.0,25.54000000000002,27.76444444444448,0
2026-05-19 14:10:00,235.45,79.0,1.8,0.0,0.0,25.871111111111123,28.104444444444468,0
2026-05-19 14:20:00,235.45,64.3,1.85,0.0,0.0,26.03000000000002,28.21900000000003,0
2026-05-19 14:30:00,235.0,80.2,1.85,0.0,0.0,26.111000000000026,28.384000000000025,0
2026-05-19 14:40:00,234.7,65.6,2.0,0.0,0.0,26.20333333333336,28.47666666666669,0
2026-05-19 14:50:00,235.0,76.65,1.95,0.0,0.0,26.343333333333348,28.562222222222253,0
2026-05-19 15:00:00,235.0,77.5,1.95,0.0,0.0,26.33000000000002,28.546923076923097,0
2026-05-19 15:10:00,234.5,78.15,1.9,0.0,0.0,26.415263157894756,28.626842105263183,0
2026-05-19 15:20:00,234.5,77.1,1.9,0.0,0.0,26.425000000000026,28.576666666666707,0
2026-05-19 15:30:00,234.5,77.5,1.9,0.0,0.0,26.46571428571431,28.56571428571432,0
2026-05-19 15:40:00,234.55,76.1,1.85,0.0,0.0,26.49100000000002,28.695000000000046,0
