,FN_mean,TP_mean,difference
average_humidity,40.654095441595445,20.104667008765368,20.549428432830076
average_light,90.82499999999999,105.14426229508197,-14.319262295081984
average_temperature,14.38091168091168,7.333671155802302,7.047240525109378
average_ambient,29.046316630355875,26.265738757248464,2.7805778731074113
average_object,27.118309368191746,25.354932428066412,1.7633769401253332
average_gas,254.17222222222225,255.86032786885244,-1.6881056466301914
average_distance,4.755360485445374,3.1813534457336634,1.5740070397117107
y_pred,0.0,1.0,-1.0
y_prob,0.1705868186087196,0.9222617331436577,-0.7516749145349381
average_loudness,1.9694444444444446,2.04,-0.07055555555555548
y_true,1.0,1.0,0.0
