,FN_mean,TP_mean,difference
average_light,68.69375,168.31730769230774,-99.62355769230774
average_humidity,79.1380523989899,68.87034002322464,10.267712375765257
average_gas,266.58750000000003,273.925,-7.337499999999977
average_ambient,29.761532507739965,26.14849316381803,3.6130393439219333
average_temperature,28.305555555555557,25.341999240076163,2.9635563154793942
average_object,27.48764086687309,25.365419829304116,2.1222210375689734
y_pred,0.0,1.0,-1.0
y_prob,0.12424963834623035,0.8694200828315578,-0.7451704444853274
average_loudness,1.94375,2.2403846153846154,-0.29663461538461533
average_distance,7.4023830479589,7.465551240008485,-0.06316819204958435
y_true,1.0,1.0,0.0
